"Name","Gender","Religion","Cast","Country"
"Sarvaduhkhahara","Male","hindu","","India"
"Sarvagraha","Male","hindu","","India"
"Sarvalolkacharine","Male","hindu","","India"
"Sarvamantra","Male","hindu","","India"
"Sarvamayavibhanjana","Male","hindu","","India"
"Sarvarogahara","Male","hindu","","India"
"Sarvatantra","Male","hindu","","India"
"Sarvavidhyasampath","Male","hindu","","India"
"Sarvayantratmaka","Male","hindu","","India"
"Sharapanjarabhedaka","Male","hindu","","India"
"Shatakanttamadapahate","Male","hindu","","India"
"Shoora","Male","hindu","","India"
"Shrimate","Male","hindu","","India"
"Shrunkalabandhamochaka","Male","hindu","","India"
"Shuchaye","Male","hindu","","India"
"Simhikaprana","Male","hindu","","India"
"Sitadevi","Male","hindu","","India"
"Sitanveshana","Male","hindu","","India"
"Sitaramapadaseva","Male","hindu","","India"
"Sitashoka","Male","hindu","","India"
"Vishwaraja","Male","hindu","","India"
"Yagnakaya","Male","hindu","","India"
"Yashaskaram","Male","hindu","","India"
"Yashvasin","Male","hindu","","India"
"Yogadhipa","Male","hindu","","India"
"Akshahantre","Male","hindu","","India"
"Anjanagarbhasambhoota","Male","hindu","","India"
"Anjaneya","Male","hindu","","India"
"Ashokavanikachhetre","Male","hindu","","India"
"Bajrangbali","Male","hindu","","India"
"Balarka","Male","hindu","","India"
"Batnasiddhikara","Male","hindu","","India"
"Bhakthavatsala","Male","hindu","","India"
"Bhavishya","Male","hindu","","India"
"Bheemasenasahayakrute","Male","hindu","","India"
"Chanchaladwala","Male","hindu","","India"
"Chaturbahave","Male","hindu","","India"
"Chiranjeevini","Male","hindu","","India"
"Daithyakulantaka","Male","hindu","","India"
"Daityakarya","Male","hindu","","India"
"Danta","Male","hindu","","India"
"Dashabahave","Male","hindu","","India"
"Dashagreevakulantaka","Male","hindu","","India"
"Deenabandhave","Male","hindu","","India"
"Dhruddavrata","Male","hindu","","India"
"Bhanda Sainya Vadodyuktha Shakthi Vikrama Harshitha","Female","hindu","","India"
"Bhandasura Vadodyuktha Shakthi Sena Samavitha","Female","hindu","","India"
"Bhandhooka Kusuma Prakhya","Female","hindu","","India"
"Bhandinyadhi Samanvidha","Female","hindu","","India"
"Bhanu Mandala Madhyastha","Female","hindu","","India"
"Bhasha Roopa","Female","hindu","","India"
"Bhava Chakra Pravarthani","Female","hindu","","India"
"Bhava Dhava Sudha Vrishti","Female","hindu","","India"
"Bhava Nasini","Female","hindu","","India"
"Bhava Rokagni","Female","hindu","","India"
"Bhavabhava Vivarjitha","Female","hindu","","India"
"Bhavana Gamya","Female","hindu","","India"
"Bhavani","Female","hindu","","India"
"Bhavarany Kudariga","Female","hindu","","India"
"Bhayapaha","Female","hindu","","India"
"Bhedha Nasini","Female","hindu","","India"
"Bhogini","Female","hindu","","India"
